nome;partido;uf;name_simplified
Paulo Guedes;PT;MG;paulo guedes
Paulo Pimenta;PT;RS;paulo pimenta
Paulo Teixeira;PT;SP;paulo teixeira
Paulão;PT;AL;paulao
Pedro Uczai;PT;SC;pedro uczai
Professora Rosa Neide;PT;MT;professora rosa neide
Rachel Marques;PT;CE;rachel marques
Reginaldo Lopes;PT;MG;reginaldo lopes
Rejane Dias;PT;PI;rejane dias
Rogério Correia;PT;MG;rogerio correia
Rubens Otoni;PT;GO;rubens otoni
Rui Falcão;PT;SP;rui falcao
Valmir Assunção;PT;BA;valmir assuncao
Vander Loubet;PT;MS;vander loubet
Vicentinho;PT;SP;vicentinho
Waldenor Pereira;PT;BA;waldenor pereira
Zeca Dirceu;PT;PR;zeca dirceu
Zé Carlos;PT;MA;ze carlos
Zé Neto;PT;BA;ze neto
Eduardo Costa;PTB;PA;eduardo costa
Emanuel Pinheiro Neto;PTB;MT;emanuel pinheiro neto
Luisa Canziani;PTB;PR;luisa canziani
Marcelo Moraes;PTB;RS;marcelo moraes
Maurício Dziedricki;PTB;RS;mauricio dziedricki
Nivaldo Albuquerque;PTB;AL;nivaldo albuquerque
PEDRO AUGUSTO BEZERRA;PTB;CE;pedro augusto bezerra
Paulo Bengtson;PTB;PA;paulo bengtson
Pedro Lucas Fernandes;PTB;MA;pedro lucas fernandes
Santini;PTB;RS;santini
Wilson Santiago;PTB;PB;wilson santiago
Célio Studart;PV;CE;celio studart
Enrico Misasi;PV;SP;enrico misasi
Leandre;PV;PR;leandre
Professor Israel Batista;PV;DF;professor israel batista
Joenia Wapichana;REDE;RR;joenia wapichana
Aline Gurgel;REPUBLICANOS;AP;aline gurgel
Amaro Neto;REPUBLICANOS;ES;amaro neto
Aroldo Martins;REPUBLICANOS;PR;aroldo martins
Benes Leocádio;REPUBLICANOS;RN;benes leocadio
Capitão Alberto Neto;REPUBLICANOS;AM;capitao alberto neto
Carlos Gomes;REPUBLICANOS;RS;carlos gomes
Celso Russomanno;REPUBLICANOS;SP;celso russomanno
Cleber Verde;REPUBLICANOS;MA;cleber verde
Dr. Gonçalo;REPUBLICANOS;MA;dr goncalo
Ely Santos;REPUBLICANOS;SP;ely santos
Gil Cutrim;REPUBLICANOS;MA;gil cutrim
Gilberto Abramo;REPUBLICANOS;MG;gilberto abramo
Henrique do Paraíso;REPUBLICANOS;SP;henrique do paraiso
Hugo Motta;REPUBLICANOS;PB;hugo motta
Hélio Costa;REPUBLICANOS;SC;helio costa
Jhonatan de Jesus;REPUBLICANOS;RR;jhonatan de jesus
Jorge Braz;REPUBLICANOS;RJ;jorge braz
João Campos;REPUBLICANOS;GO;joao campos
João Roma;REPUBLICANOS;BA;joao roma
Julio Cesar Ribeiro;REPUBLICANOS;DF;julio cesar ribeiro
